wavelength_nm,Spectral_Irradiance_W_m2_nm
498.0,0.622861
499.0,0.624032
500.0,0.623024
501.0,0.60516
502.0,0.605882
503.0,0.634956
504.0,0.592891
505.0,0.636748
506.0,0.663676
507.0,0.636203
508.0,0.621276
509.0,0.652382
510.0,0.636719
511.0,0.649835
512.0,0.668325
513.0,0.629087
514.0,0.617007
515.0,0.636025
516.0,0.643127
517.0,0.525089
518.0,0.601674
519.0,0.584168
520.0,0.638929
521.0,0.64478
522.0,0.660498
523.0,0.623762
524.0,0.672115
525.0,0.668147
526.0,0.650755
527.0,0.570222
528.0,0.653911
529.0,0.68561
530.0,0.660192
531.0,0.697665
532.0,0.686366
533.0,0.614068
534.0,0.658973
535.0,0.67026
536.0,0.700215
537.0,0.64912
538.0,0.682826
539.0,0.667317
540.0,0.645605
541.0,0.621757
542.0,0.677981
543.0,0.668065
544.0,0.69281
545.0,0.678393
546.0,0.673297
547.0,0.683309
548.0,0.665069
549.0,0.687135
550.0,0.68302
551.0,0.683507
552.0,0.69877
553.0,0.680101
554.0,0.694689
555.0,0.699748
556.0,0.688992
557.0,0.673251
558.0,0.68895
559.0,0.652903
560.0,0.665677
561.0,0.705548
562.0,0.672904
563.0,0.699573
564.0,0.687079
565.0,0.692626
566.0,0.656104
567.0,0.700519
568.0,0.695342
569.0,0.67945
570.0,0.681058
571.0,0.659919
572.0,0.698117
573.0,0.702295
574.0,0.699863
575.0,0.685224
576.0,0.680702
577.0,0.699054
578.0,0.678684
579.0,0.689664
580.0,0.702548
581.0,0.706993
582.0,0.719052
583.0,0.727763
584.0,0.727551
585.0,0.722947
586.0,0.70665
587.0,0.723383
588.0,0.708161
589.0,0.612465
590.0,0.652283
591.0,0.69881
592.0,0.685288
593.0,0.696345
594.0,0.694166
595.0,0.686553
596.0,0.708711
597.0,0.711971
598.0,0.704434
599.0,0.705564
600.0,0.713855
601.0,0.706611
602.0,0.697155
603.0,0.713096
604.0,0.726797
605.0,0.726732
606.0,0.724365
607.0,0.729917
608.0,0.728717
609.0,0.724366
610.0,0.722456
611.0,0.719945
612.0,0.731982
613.0,0.722796
614.0,0.701941
615.0,0.728924
616.0,0.710884
617.0,0.702982
618.0,0.730835
619.0,0.735462
620.0,0.73695
621.0,0.741294
622.0,0.715751
623.0,0.711677
624.0,0.710454
625.0,0.706956
626.0,0.70738
627.0,0.728989
628.0,0.690344
629.0,0.715944
630.0,0.707429
631.0,0.720612
632.0,0.695098
633.0,0.74061
634.0,0.730327
635.0,0.74039
636.0,0.72463
637.0,0.75053
638.0,0.756699
639.0,0.754741
640.0,0.740129
641.0,0.741699
642.0,0.744306
643.0,0.753192
644.0,0.751091
645.0,0.757719
646.0,0.737169
647.0,0.734971
648.0,0.729105
649.0,0.707567
650.0,0.712589
651.0,0.758468
652.0,0.729346
653.0,0.753636
654.0,0.746457
655.0,0.713052
656.0,0.626956
657.0,0.656629
658.0,0.735209
659.0,0.738983
660.0,0.744735
661.0,0.742719
662.0,0.737756
663.0,0.740207
664.0,0.74791
665.0,0.762283
666.0,0.762839
667.0,0.758551
668.0,0.762274
669.0,0.77658
670.0,0.767042
671.0,0.766726
672.0,0.757192
673.0,0.76494
674.0,0.76499
675.0,0.75981
676.0,0.769768
677.0,0.763863
678.0,0.769093
679.0,0.763711
680.0,0.766042
681.0,0.764203
682.0,0.768955
683.0,0.761765
684.0,0.757861
685.0,0.759466
686.0,0.743425
687.0,0.536436
688.0,0.621752
689.0,0.626657
690.0,0.657781
691.0,0.687266
692.0,0.708128
693.0,0.70468
694.0,0.697582
695.0,0.712599
696.0,0.711941
697.0,0.753378
698.0,0.742582
699.0,0.7282
700.0,0.723879
701.0,0.715642
702.0,0.717512
703.0,0.722673
704.0,0.742493
705.0,0.75128
706.0,0.74836
707.0,0.746341
708.0,0.744999
709.0,0.748738
710.0,0.754375
711.0,0.754291
712.0,0.750528
713.0,0.742785
714.0,0.750218
715.0,0.725783
716.0,0.734246
717.0,0.640154
718.0,0.596172
719.0,0.535296
720.0,0.572226
721.0,0.631515
722.0,0.722408
723.0,0.667259
724.0,0.616276
725.0,0.606895
726.0,0.633084
727.0,0.636125
728.0,0.610581
729.0,0.6153
730.0,0.664359
731.0,0.630959
732.0,0.680878
733.0,0.707109
734.0,0.731455
735.0,0.721841
736.0,0.71576
737.0,0.715544
738.0,0.730203
739.0,0.7095
740.0,0.727766
741.0,0.725941
742.0,0.72722
743.0,0.7433
744.0,0.75018
745.0,0.750828
746.0,0.750211
747.0,0.751639
748.0,0.74806
749.0,0.746403
750.0,0.746431
751.0,0.744096
752.0,0.747755
753.0,0.744863
754.0,0.755216
755.0,0.753965
756.0,0.745757
757.0,0.746072
758.0,0.751581
759.0,0.73115
760.0,0.163057
761.0,0.0944867
762.0,0.422578
763.0,0.233527
764.0,0.331958
765.0,0.423224
766.0,0.503219
767.0,0.602571
768.0,0.689837
769.0,0.699418
770.0,0.720819
771.0,0.726605
772.0,0.733275
773.0,0.733789
774.0,0.734738
775.0,0.735688
776.0,0.738326
777.0,0.734829
778.0,0.734896
779.0,0.739108
780.0,0.731942
781.0,0.731054
782.0,0.735458
783.0,0.733368
784.0,0.729373
785.0,0.733469
786.0,0.734783
787.0,0.726706
788.0,0.718415
789.0,0.716272
790.0,0.695073
791.0,0.705393
792.0,0.699579
793.0,0.695474
794.0,0.702562
795.0,0.700882
796.0,0.689567
797.0,0.701424
798.0,0.71569
799.0,0.702669
800.0,0.691935
801.0,0.700423
802.0,0.702138
803.0,0.690127
804.0,0.699091
805.0,0.684575
806.0,0.71331
807.0,0.706711
808.0,0.70511
809.0,0.688172
810.0,0.689741
811.0,0.688892
812.0,0.672388
813.0,0.661284
814.0,0.593143
815.0,0.588397
816.0,0.547615
817.0,0.561246
818.0,0.542644
819.0,0.597863
820.0,0.569953
821.0,0.660534
822.0,0.630799
823.0,0.446484
824.0,0.621362
825.0,0.64493
826.0,0.622038
827.0,0.656698
828.0,0.56744
829.0,0.621282
830.0,0.613136
831.0,0.619175
832.0,0.60002
833.0,0.642552
834.0,0.628271
835.0,0.675542
836.0,0.655545
837.0,0.68121
838.0,0.675137
839.0,0.677492
840.0,0.688055
841.0,0.685076
842.0,0.677016
